GeneName	Geneid	type
J01415.2	ENSG00000210049	gene
J01415.23	ENSG00000211459	gene
J01415.3	ENSG00000210077	gene
MIR4485	ENSG00000210082	gene
J01415.1	ENSG00000209082	gene
MT-ND1	ENSG00000198888	gene
J01415.4	ENSG00000210100	gene
J01415.5	ENSG00000210107	gene
J01415.6	ENSG00000210112	gene
MT-ND2	ENSG00000198763	gene
J01415.7	ENSG00000210117	gene
J01415.8	ENSG00000210127	gene
J01415.9	ENSG00000210135	gene
J01415.10	ENSG00000210140	gene
J01415.11	ENSG00000210144	gene
MT-CO1	ENSG00000198804	gene
J01415.12	ENSG00000210151	gene
J01415.13	ENSG00000210154	gene
MT-CO2	ENSG00000198712	gene
J01415.14	ENSG00000210156	gene
MT-ATP8	ENSG00000228253	gene
MT-ATP6	ENSG00000198899	gene
MT-CO3	ENSG00000198938	gene
J01415.15	ENSG00000210164	gene
MT-ND3	ENSG00000198840	gene
J01415.16	ENSG00000210174	gene
MT-ND4L	ENSG00000212907	gene
MT-ND4	ENSG00000198886	gene
J01415.17	ENSG00000210176	gene
J01415.18	ENSG00000210184	gene
J01415.19	ENSG00000210191	gene
MT-ND5	ENSG00000198786	gene
MT-ND6	ENSG00000198695	gene
J01415.20	ENSG00000210194	gene
MT-CYB	ENSG00000198727	gene
J01415.21	ENSG00000210195	gene
J01415.22	ENSG00000210196	gene
RP11-304M2.1	ENSG00000253826	gene
OR4F2P	ENSG00000224777	gene
RP11-304M2.6	ENSG00000254468	gene
RP11-304M2.2	ENSG00000230724	gene
AC069287.2	ENSG00000268783	gene
RP11-304M2.3	ENSG00000255229	gene
U6	ENSG00000222225	gene
BET1L	ENSG00000177951	gene
SCGB1C1	ENSG00000188076	gene
ODF3	ENSG00000177947	gene
AC069287.1	ENSG00000232495	gene
RP11-304M2.5	ENSG00000254559	gene
RIC8A	ENSG00000177963	gene
SIRT3	ENSG00000142082	gene
PSMD13	ENSG00000185627	gene
NLRP6	ENSG00000174885	gene
RP11-326C3.2	ENSG00000255026	gene
ATHL1	ENSG00000142102	gene
IFITM5	ENSG00000206013	gene
RP11-326C3.4	ENSG00000255533	gene
IFITM2	ENSG00000185201	gene
RP11-326C3.7	ENSG00000254910	gene
IFITM1	ENSG00000185885	gene
RP11-326C3.11	ENSG00000251661	gene
IFITM3	ENSG00000142089	gene
RP11-326C3.10	ENSG00000255089	gene
RP11-326C3.12	ENSG00000255328	gene
B4GALNT4	ENSG00000182272	gene
PKP3	ENSG00000184363	gene
SIGIRR	ENSG00000185187	gene
ANO9	ENSG00000185101	gene
Metazoa_SRP	ENSG00000243562	gene
PTDSS2	ENSG00000174915	gene
RP13-317D12.3	ENSG00000255237	gene
RNH1	ENSG00000023191	gene
RP13-46H24.1	ENSG00000254739	gene
HRAS	ENSG00000174775	gene
LRRC56	ENSG00000161328	gene
C11orf35	ENSG00000185522	gene
RP11-496I9.1	ENSG00000254815	gene
RASSF7	ENSG00000099849	gene
MIR210HG	ENSG00000247095	gene
MIR210	ENSG00000199038	gene
hsa-mir-210	ENSG00000254474	gene
PHRF1	ENSG00000070047	gene
IRF7	ENSG00000185507	gene
CDHR5	ENSG00000099834	gene
SCT	ENSG00000070031	gene
DRD4	ENSG00000069696	gene
DEAF1	ENSG00000177030	gene
RP11-754B17.1	ENSG00000255158	gene
EPS8L2	ENSG00000177106	gene
TMEM80	ENSG00000177042	gene
TALDO1	ENSG00000177156	gene
PDDC1	ENSG00000177225	gene
AP006621.5	ENSG00000255284	gene
